順位,Unnamed: 1,Unnamed: 2,ポイントCBP,90分平均,出場試合出場,ゴール,アシスト,team,source_url
4,MF,佐藤　龍之介,18.49,1.74,15,5,1,FCtk,https://www.football-lab.jp/fctk/ranking
5,MF,遠藤　渓太,18.35,1.87,16,3,0,FCtk,https://www.football-lab.jp/fctk/ranking
6,DF,稲村　隼翔,18.23,1.52,13,0,0,FCtk,https://www.football-lab.jp/fctk/ranking
7,FW,佐藤　恵允,17.04,1.21,16,5,3,FCtk,https://www.football-lab.jp/fctk/ranking
8,MF,橋本　拳人,13.33,1.13,15,0,0,FCtk,https://www.football-lab.jp/fctk/ranking
9,MF,常盤　亨太,12.96,1.0,16,0,0,FCtk,https://www.football-lab.jp/fctk/ranking
10,FW,マルセロ　ヒアン,12.76,1.19,14,5,4,FCtk,https://www.football-lab.jp/fctk/ranking
1,MF,森田　晃樹,18.42,1.2,16,1,3,tk-v,https://www.football-lab.jp/tk-v/ranking
2,MF,平川　怜,12.99,0.96,16,0,1,tk-v,https://www.football-lab.jp/tk-v/ranking
3,MF,齋藤　功佑,12.33,1.52,15,1,0,tk-v,https://www.football-lab.jp/tk-v/ranking
4,FW,染野　唯月,12.03,0.9,14,4,2,tk-v,https://www.football-lab.jp/tk-v/ranking
5,DF,鈴木　海音,11.63,0.78,15,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking
6,DF,井上　竜太,9.27,0.75,15,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking
7,DF,深澤　大輝,8.61,0.65,14,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking
8,DF,宮原　和也,7.93,0.84,12,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking
9,MF,松橋　優安,7.88,1.09,13,1,2,tk-v,https://www.football-lab.jp/tk-v/ranking
10,DF,内田　陽介,6.93,0.8,10,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking
1,FW,相馬　勇紀,20.38,2.42,9,4,2,mcd,https://www.football-lab.jp/mcd/ranking
2,DF,中山　雄太,17.09,1.43,13,1,1,mcd,https://www.football-lab.jp/mcd/ranking
3,FW,エリキ,15.82,1.63,14,6,0,mcd,https://www.football-lab.jp/mcd/ranking
4,DF,昌子　源,13.2,0.96,15,1,1,mcd,https://www.football-lab.jp/mcd/ranking
5,FW,ナ　サンホ,12.32,1.44,15,3,3,mcd,https://www.football-lab.jp/mcd/ranking
6,MF,前　寛之,11.73,1.51,12,0,0,mcd,https://www.football-lab.jp/mcd/ranking
7,DF,林　幸多郎,11.26,1.07,14,0,0,mcd,https://www.football-lab.jp/mcd/ranking
8,DF,岡村　大八,10.8,0.83,13,0,0,mcd,https://www.football-lab.jp/mcd/ranking
9,MF,ネタ　ラヴィ,10.58,1.17,11,0,1,mcd,https://www.football-lab.jp/mcd/ranking
10,DF,ドレシェヴィッチ,9.62,1.15,12,1,0,mcd,https://www.football-lab.jp/mcd/ranking
1,DF,三浦　颯太,24.35,1.65,16,0,0,ka-f,https://www.football-lab.jp/ka-f/ranking
2,MF,山本　悠樹,23.32,1.94,16,1,2,ka-f,https://www.football-lab.jp/ka-f/ranking
3,DF,山原　怜音,22.48,1.42,16,1,0,ka-f,https://www.football-lab.jp/ka-f/ranking
4,FW,伊藤　達哉,18.06,1.87,15,0,2,ka-f,https://www.football-lab.jp/ka-f/ranking
5,MF,脇坂　泰斗,17.45,1.21,15,4,4,ka-f,https://www.football-lab.jp/ka-f/ranking
6,MF,橘田　健人,17.0,1.36,16,0,2,ka-f,https://www.football-lab.jp/ka-f/ranking
7,DF,松長根　悠仁,13.2,1.02,13,1,0,ka-f,https://www.football-lab.jp/ka-f/ranking
8,FW,マルシーニョ,12.36,1.37,16,1,1,ka-f,https://www.football-lab.jp/ka-f/ranking
9,DF,丸山　祐市,11.69,1.14,11,0,0,ka-f,https://www.football-lab.jp/ka-f/ranking
10,FW,エリソン,9.67,1.06,15,7,0,ka-f,https://www.football-lab.jp/ka-f/ranking
1,MF,山根　陸,16.12,1.03,16,2,1,y-fm,https://www.football-lab.jp/y-fm/ranking
2,DF,加藤　蓮,15.93,1.02,16,1,0,y-fm,https://www.football-lab.jp/y-fm/ranking
3,DF,井上　太聖,15.73,1.21,14,1,1,y-fm,https://www.football-lab.jp/y-fm/ranking
4,FW,ジョルディ　クルークス,15.5,1.3,16,1,4,y-fm,https://www.football-lab.jp/y-fm/ranking
5,DF,ジェイソン　キニョーネス,11.45,0.97,14,1,0,y-fm,https://www.football-lab.jp/y-fm/ranking
6,MF,天野　純,11.4,1.36,15,4,2,y-fm,https://www.football-lab.jp/y-fm/ranking
7,DF,角田　涼太朗,10.56,1.23,9,0,0,y-fm,https://www.football-lab.jp/y-fm/ranking
8,MF,渡辺　皓太,10.19,0.94,13,1,2,y-fm,https://www.football-lab.jp/y-fm/ranking
9,FW,谷村　海那,9.93,0.79,15,7,2,y-fm,https://www.football-lab.jp/y-fm/ranking
10,FW,ユーリ　アラウージョ,7.24,1.15,9,1,0,y-fm,https://www.football-lab.jp/y-fm/ranking
1,MF,マテウス　ブエノ,27.07,1.87,15,1,0,shim,https://www.football-lab.jp/shim/ranking
2,FW,北川　航也,15.4,2.06,8,2,0,shim,https://www.football-lab.jp/shim/ranking
3,DF,吉田　豊,14.72,1.17,15,1,2,shim,https://www.football-lab.jp/shim/ranking
4,FW,オ　セフン,14.7,1.04,15,7,1,shim,https://www.football-lab.jp/shim/ranking
5,MF,カピシャーバ,14.3,1.49,12,1,1,shim,https://www.football-lab.jp/shim/ranking
6,DF,北爪　健吾,12.58,1.29,13,1,1,shim,https://www.football-lab.jp/shim/ranking
7,MF,小塚　和季,12.28,1.64,13,0,0,shim,https://www.football-lab.jp/shim/ranking
8,MF,宇野　禅斗,11.67,1.02,15,1,2,shim,https://www.football-lab.jp/shim/ranking
9,DF,住吉　ジェラニレショーン,8.73,0.67,14,0,0,shim,https://www.football-lab.jp/shim/ranking
10,MF,嶋本　悠大,7.8,1.19,9,3,0,shim,https://www.football-lab.jp/shim/ranking
1,MF,中山　克広,24.81,1.76,15,0,7,nago,https://www.football-lab.jp/nago/ranking
2,MF,高嶺　朋樹,22.68,1.52,15,0,1,nago,https://www.football-lab.jp/nago/ranking
3,DF,藤井　陽也,19.7,1.31,15,0,1,nago,https://www.football-lab.jp/nago/ranking
4,MF,稲垣　祥,19.13,1.28,15,2,0,nago,https://www.football-lab.jp/nago/ranking
5,FW,木村　勇大,15.59,1.13,16,7,2,nago,https://www.football-lab.jp/nago/ranking
6,DF,原　輝綺,15.0,1.53,12,0,3,nago,https://www.football-lab.jp/nago/ranking
7,MF,甲田　英將,12.24,1.73,14,2,1,nago,https://www.football-lab.jp/nago/ranking
8,FW,マルクス　ヴィニシウス,11.49,1.76,7,0,2,nago,https://www.football-lab.jp/nago/ranking
9,DF,野上　結貴,10.37,1.59,13,0,1,nago,https://www.football-lab.jp/nago/ranking
10,FW,山岸　祐也,10.22,0.93,15,9,0,nago,https://www.football-lab.jp/nago/ranking
1,MF,ジョアン　ペドロ,23.74,1.64,15,2,1,kyot,https://www.football-lab.jp/kyot/ranking
2,FW,マルコ　トゥーリオ,20.36,1.67,13,5,1,kyot,https://www.football-lab.jp/kyot/ranking
3,DF,福田　心之助,14.89,1.29,13,0,0,kyot,https://www.football-lab.jp/kyot/ranking
4,MF,尹　星俊,14.57,1.18,14,0,1,kyot,https://www.football-lab.jp/kyot/ranking
5,DF,須貝　英大,13.83,1.16,14,0,1,kyot,https://www.football-lab.jp/kyot/ranking
6,MF,佐藤　響,13.04,1.19,15,1,0,kyot,https://www.football-lab.jp/kyot/ranking
7,FW,ラファエル　エリアス,10.08,1.23,11,4,2,kyot,https://www.football-lab.jp/kyot/ranking
8,DF,エンリケ　トレヴィザン,9.5,0.84,13,2,2,kyot,https://www.football-lab.jp/kyot/ranking
9,MF,奥川　雅也,9.46,1.43,14,1,0,kyot,https://www.football-lab.jp/kyot/ranking
10,MF,平岡　大陽,9.45,1.95,10,0,0,kyot,https://www.football-lab.jp/kyot/ranking
1,FW,山下　諒也,23.85,1.72,16,1,2,g-os,https://www.football-lab.jp/g-os/ranking
2,DF,初瀬　亮,23.42,1.94,14,0,2,g-os,https://www.football-lab.jp/g-os/ranking
3,MF,安部　柊斗,22.03,2.2,14,0,1,g-os,https://www.football-lab.jp/g-os/ranking
4,DF,中谷　進之介,18.83,1.11,17,1,1,g-os,https://www.football-lab.jp/g-os/ranking
5,FW,食野　亮太郎,18.37,2.05,16,2,0,g-os,https://www.football-lab.jp/g-os/ranking
6,DF,岸本　武流,16.23,1.74,11,1,1,g-os,https://www.football-lab.jp/g-os/ranking
7,MF,鈴木　徳真,15.87,1.66,13,0,1,g-os,https://www.football-lab.jp/g-os/ranking
8,DF,三浦　弦太,14.93,1.07,14,1,1,g-os,https://www.football-lab.jp/g-os/ranking
9,FW,イッサム　ジェバリ,14.24,1.9,11,1,2,g-os,https://www.football-lab.jp/g-os/ranking
10,MF,奥抜　侃志,12.79,2.32,12,1,0,g-os,https://www.football-lab.jp/g-os/ranking
1,MF,柴山　昌也,28.94,2.76,15,0,4,c-os,https://www.football-lab.jp/c-os/ranking
2,MF,田中　駿汰,17.93,1.19,16,3,1,c-os,https://www.football-lab.jp/c-os/ranking
3,MF,横山　夢樹,17.52,2.59,15,0,1,c-os,https://www.football-lab.jp/c-os/ranking
4,MF,石渡　ネルソン,15.54,1.39,14,0,1,c-os,https://www.football-lab.jp/c-os/ranking
5,DF,ディオン　クールズ,14.57,1.37,15,0,0,c-os,https://www.football-lab.jp/c-os/ranking
6,MF,香川　真司,14.18,2.4,13,1,0,c-os,https://www.football-lab.jp/c-os/ranking
7,FW,チアゴ　アンドラーデ,13.91,1.27,15,5,0,c-os,https://www.football-lab.jp/c-os/ranking
8,FW,中島　元彦,12.48,1.26,15,0,2,c-os,https://www.football-lab.jp/c-os/ranking
9,DF,畠中　槙之輔,12.08,0.95,14,0,0,c-os,https://www.football-lab.jp/c-os/ranking
10,DF,井上　黎生人,11.69,0.89,14,2,0,c-os,https://www.football-lab.jp/c-os/ranking
1,MF,山根　永遠,18.86,1.67,14,2,2,okay,https://www.football-lab.jp/okay/ranking
2,DF,白井　康介,17.58,1.63,13,1,3,okay,https://www.football-lab.jp/okay/ranking
3,MF,江坂　任,16.95,1.24,16,3,3,okay,https://www.football-lab.jp/okay/ranking
4,DF,立田　悠悟,13.84,0.86,16,0,0,okay,https://www.football-lab.jp/okay/ranking
5,MF,宮本　英治,10.13,0.87,13,0,0,okay,https://www.football-lab.jp/okay/ranking
6,MF,小倉　幸成,9.77,0.93,13,0,3,okay,https://www.football-lab.jp/okay/ranking
7,MF,木村　太哉,8.98,0.99,15,4,1,okay,https://www.football-lab.jp/okay/ranking
8,FW,ルカオ,8.23,1.04,14,1,0,okay,https://www.football-lab.jp/okay/ranking
9,FW,河野　孝汰,7.71,1.52,13,1,1,okay,https://www.football-lab.jp/okay/ranking
10,DF,大森　博,7.01,0.74,10,0,0,okay,https://www.football-lab.jp/okay/ranking
1,DF,永戸　勝也,22.93,1.61,16,3,1,kobe,https://www.football-lab.jp/kobe/ranking
2,FW,佐々木　大樹,20.34,1.97,12,2,3,kobe,https://www.football-lab.jp/kobe/ranking
3,FW,武藤　嘉紀,19.8,1.97,11,3,0,kobe,https://www.football-lab.jp/kobe/ranking
4,MF,井手口　陽介,18.84,1.33,15,1,2,kobe,https://www.football-lab.jp/kobe/ranking
5,DF,広瀬　陸斗,18.5,1.84,12,0,0,kobe,https://www.football-lab.jp/kobe/ranking
6,DF,マテウス　トゥーレル,13.18,0.98,14,0,0,kobe,https://www.football-lab.jp/kobe/ranking
7,DF,酒井　高徳,12.14,1.37,10,2,1,kobe,https://www.football-lab.jp/kobe/ranking
8,FW,大迫　勇也,11.76,1.73,11,1,1,kobe,https://www.football-lab.jp/kobe/ranking
9,DF,ジエゴ,10.59,1.78,10,0,0,kobe,https://www.football-lab.jp/kobe/ranking
10,MF,濱﨑　健斗,9.81,3.92,9,0,1,kobe,https://www.football-lab.jp/kobe/ranking
1,DF,塩谷　司,28.76,1.97,16,0,1,hiro,https://www.football-lab.jp/hiro/ranking
2,DF,新井　直人,21.71,2.23,13,1,1,hiro,https://www.football-lab.jp/hiro/ranking
3,MF,東　俊希,20.68,2.29,14,3,3,hiro,https://www.football-lab.jp/hiro/ranking
4,MF,川辺　駿,20.44,1.67,14,1,2,hiro,https://www.football-lab.jp/hiro/ranking
5,DF,中野　就斗,18.74,1.4,16,2,0,hiro,https://www.football-lab.jp/hiro/ranking
6,MF,松本　泰志,18.66,1.67,14,0,1,hiro,https://www.football-lab.jp/hiro/ranking
7,DF,佐々木　翔,16.3,1.62,12,0,0,hiro,https://www.football-lab.jp/hiro/ranking
8,FW,中村　草太,15.4,2.1,12,1,0,hiro,https://www.football-lab.jp/hiro/ranking
9,FW,鈴木　章斗,14.15,1.32,16,3,4,hiro,https://www.football-lab.jp/hiro/ranking
10,DF,荒木　隼人,10.26,0.88,12,1,0,hiro,https://www.football-lab.jp/hiro/ranking
1,MF,見木　友哉,20.91,1.63,14,2,2,fuku,https://www.football-lab.jp/fuku/ranking
2,MF,名古　新太郎,14.97,1.37,14,0,1,fuku,https://www.football-lab.jp/fuku/ranking
3,DF,前嶋　洋太,14.14,0.95,17,0,1,fuku,https://www.football-lab.jp/fuku/ranking
4,DF,橋本　悠,12.84,1.23,15,2,2,fuku,https://www.football-lab.jp/fuku/ranking
5,MF,重見　柾斗,12.22,1.04,15,1,1,fuku,https://www.football-lab.jp/fuku/ranking
6,DF,辻岡　佑真,12.09,1.16,13,2,1,fuku,https://www.football-lab.jp/fuku/ranking
7,DF,岡　哲平,11.76,0.78,16,1,0,fuku,https://www.football-lab.jp/fuku/ranking
8,FW,藤本　一輝,11.0,1.37,14,1,0,fuku,https://www.football-lab.jp/fuku/ranking
9,MF,北島　祐二,10.68,1.51,17,0,1,fuku,https://www.football-lab.jp/fuku/ranking
10,MF,奥野　耕平,7.69,1.14,13,0,0,fuku,https://www.football-lab.jp/fuku/ranking
1,MF,長谷川　元希,17.55,1.38,15,1,2,ngsk,https://www.football-lab.jp/ngsk/ranking
2,MF,山口　蛍,16.59,1.1,16,0,0,ngsk,https://www.football-lab.jp/ngsk/ranking
3,DF,米田　隼也,15.72,1.29,15,0,1,ngsk,https://www.football-lab.jp/ngsk/ranking
4,MF,マテウス　ジェズス,15.54,1.4,14,6,2,ngsk,https://www.football-lab.jp/ngsk/ranking
5,MF,翁長　聖,12.64,1.04,16,0,0,ngsk,https://www.football-lab.jp/ngsk/ranking
6,FW,ノーマン　キャンベル,12.43,1.8,13,2,2,ngsk,https://www.football-lab.jp/ngsk/ranking
7,MF,ディエゴ　ピトゥカ,10.27,1.49,13,0,0,ngsk,https://www.football-lab.jp/ngsk/ranking
8,MF,山田　陸,9.19,1.32,11,0,1,ngsk,https://www.football-lab.jp/ngsk/ranking
9,FW,チアゴ　サンタナ,8.42,0.93,13,6,0,ngsk,https://www.football-lab.jp/ngsk/ranking
10,DF,江川　湧清,7.93,0.92,9,0,0,ngsk,https://www.football-lab.jp/ngsk/ranking
